T0 R615:3606484.591196,IMG_SHARPEN,1,15,15,3606484.591228,3606484.591267,3606484.629656,INSTR,412183648
T0 R620:3606484.738562,IMG_SHARPEN,1,14,14,3606484.738596,3606484.738631,3606484.759152,INSTR,210602223
T0 R622:3606484.826203,IMG_BLUR,1,81,81,3606484.826241,3606484.826305,3606484.902792,INSTR,545872323
T0 R625:3606485.025065,IMG_SHARPEN,1,62,62,3606485.025101,3606485.025152,3606485.065943,INSTR,410706421
T0 R629:3606485.183998,IMG_BLUR,1,55,55,3606485.184056,3606485.184105,3606485.198687,INSTR,102150026
T0 R632:3606485.413524,IMG_BLUR,1,64,64,3606485.417051,3606485.433719,3606485.494230,INSTR,363702512
T0 R633:3606485.429706,IMG_SHARPEN,1,83,83,3606485.429751,3606485.494241,3606485.553860,INSTR,629378807
T0 R635:3606485.659184,IMG_SHARPEN,1,32,32,3606485.659218,3606485.659260,3606485.736894,INSTR,777630716
T0 R641:3606485.877765,IMG_SHARPEN,1,70,70,3606485.877806,3606485.901441,3606485.922130,INSTR,211114859
T0 R642:3606485.940976,IMG_SHARPEN,1,21,21,3606485.941012,3606485.941050,3606485.961150,INSTR,218454254
T0 R643:3606485.972152,IMG_SHARPEN,1,84,84,3606485.972162,3606485.972200,3606486.049037,INSTR,777882855
T0 R653:3606486.394456,IMG_BLUR,1,4,4,3606486.394493,3606486.424973,3606486.439450,INSTR,102150062
T0 R657:3606486.469474,IMG_SHARPEN,1,47,47,3606486.469509,3606486.478210,3606486.517909,INSTR,411919686
T0 R659:3606486.581218,IMG_BLUR,1,43,43,3606486.581258,3606486.581320,3606486.660369,INSTR,545873577
T0 R660:3606486.626915,IMG_SHARPEN,1,37,37,3606486.626955,3606486.660389,3606486.725983,INSTR,629713683
T0 R667:3606486.769419,IMG_BLUR,1,92,92,3606486.804041,3606486.857008,3606486.871382,INSTR,102149997
T0 R671:3606486.916884,IMG_SHARPEN,1,5,5,3606486.916921,3606486.916973,3606486.985491,INSTR,628149877
T0 R672:3606486.919164,IMG_BLUR,1,7,7,3606486.957056,3606486.985513,3606487.037080,INSTR,363702684
T0 R675:3606486.942908,IMG_SHARPEN,1,4,4,3606486.957067,3606487.039095,3606487.061249,INSTR,217707491
T0 R677:3606486.981540,IMG_SHARPEN,1,37,37,3606486.981576,3606487.061255,3606487.127881,INSTR,629589083
T0 R678:3606487.024724,IMG_BLUR,1,6,6,3606487.024758,3606487.127890,3606487.207957,INSTR,545882169
T0 R679:3606487.030250,IMG_SHARPEN,1,70,70,3606487.039125,3606487.207967,3606487.228769,INSTR,210543741
T0 R685:3606487.379569,IMG_BLUR,1,94,94,3606487.379608,3606487.379648,3606487.393736,INSTR,98820882
T0 R686:3606487.414578,IMG_SHARPEN,1,77,77,3606487.414616,3606487.414655,3606487.454908,INSTR,412238021
T0 R691:3606487.510485,IMG_BLUR,1,48,48,3606487.510525,3606487.578507,3606487.656300,INSTR,545872907
T0 R692:3606487.512204,IMG_SHARPEN,1,84,84,3606487.551046,3606487.656311,3606487.734702,INSTR,777761467
T0 R695:3606487.660357,IMG_BLUR,1,10,10,3606487.660390,3606487.735608,3606487.777117,INSTR,294438227
T0 R697:3606487.779257,IMG_BLUR,1,5,5,3606487.779300,3606487.796357,3606487.837643,INSTR,294438180
T0 R704:3606488.083179,IMG_SHARPEN,1,75,75,3606488.083219,3606488.083280,3606488.103777,INSTR,211002918
T0 R706:3606488.107590,IMG_BLUR,1,46,46,3606488.116355,3606488.120714,3606488.163047,INSTR,294438811
T0 R717:3606488.578610,IMG_BLUR,1,24,24,3606488.604067,3606488.690385,3606488.704924,INSTR,98824880
T0 R718:3606488.620365,IMG_SHARPEN,1,31,31,3606488.620405,3606488.704930,3606488.727521,INSTR,218330312
T0 R725:3606488.935925,IMG_SHARPEN,1,41,41,3606488.935964,3606488.936006,3606488.997533,INSTR,629077042
T0 R727:3606489.075655,IMG_SHARPEN,1,69,69,3606489.075694,3606489.075733,3606489.096488,INSTR,211114252
T0 R733:3606489.311197,IMG_SHARPEN,1,103,103,3606489.343118,3606489.343124,3606489.364174,INSTR,218336218
T0 R734:3606489.338873,IMG_SHARPEN,1,10,10,3606489.343122,3606489.364187,3606489.431200,INSTR,628845444
T0 R737:3606489.460522,IMG_SHARPEN,1,8,8,3606489.460560,3606489.460610,3606489.524698,INSTR,628261806
T0 R743:3606489.793392,IMG_BLUR,1,25,25,3606489.793430,3606489.793469,3606489.807869,INSTR,102151574
T0 R747:3606489.900783,IMG_BLUR,1,102,102,3606489.900818,3606489.900855,3606489.914871,INSTR,98820755
